# AI_SURFACE_CAPS — inventário vivo do registry de capabilities
# gerado em: 2026-07-30T02:54:18.001Z
# total: 177 | audience mcp: 150 | app-only: 27
# formato: id | kind | audience | approval | módulo

agenda.appointments.cancel | command | app+mcp | approval | agenda
agenda.appointments.confirm | command | app+mcp | - | agenda
agenda.appointments.create | command | app+mcp | - | agenda
agenda.appointments.get | query | app+mcp | - | agenda
agenda.appointments.list | query | app+mcp | - | agenda
agenda.appointments.reschedule | command | app+mcp | approval | agenda
agenda.appointments.update | command | app+mcp | - | agenda
agenda.availability.add | command | app+mcp | - | agenda
agenda.availability.clearDate | command | app+mcp | - | agenda
agenda.availability.deleteSlot | command | app+mcp | - | agenda
agenda.availability.findNext | query | app+mcp | - | agenda
agenda.availability.list | query | app+mcp | - | agenda
agenda.slot.check | query | app+mcp | - | agenda
automation.rules.delete | command | app | - | automation
automation.rules.list | query | app | - | automation
automation.rules.upsert | command | app | - | automation
automation.runs.list | query | app | - | automation
automation.tick | command | app | - | automation
billing.createGalleryPayment | command | app+mcp | - | billing
billing.listSessionPayments | query | app+mcp | - | billing
billing.registerManualPayment | command | app+mcp | approval | billing
clientes.addNota | command | app+mcp | - | clientes
clientes.create | command | app+mcp | - | clientes
clientes.get | query | app+mcp | - | clientes
clientes.list | query | app+mcp | - | clientes
clientes.listSessoes | query | app+mcp | - | clientes
clientes.listTransacoes | query | app+mcp | - | clientes
clientes.search | query | app+mcp | - | clientes
clientes.update | command | app+mcp | - | clientes
configuracoes.createCategoria | command | app+mcp | - | configuracoes
configuracoes.createEtapa | command | app+mcp | - | configuracoes
configuracoes.createPacote | command | app+mcp | - | configuracoes
configuracoes.createProduto | command | app+mcp | - | configuracoes
configuracoes.deleteCategoria | command | app+mcp | approval | configuracoes
configuracoes.deleteEtapa | command | app+mcp | approval | configuracoes
configuracoes.deletePacote | command | app+mcp | approval | configuracoes
configuracoes.deleteProduto | command | app+mcp | approval | configuracoes
configuracoes.getCategoria | query | app+mcp | - | configuracoes
configuracoes.listCategorias | query | app+mcp | - | configuracoes
configuracoes.listEtapas | query | app+mcp | - | configuracoes
configuracoes.listPacotes | query | app+mcp | - | configuracoes
configuracoes.listProdutos | query | app+mcp | - | configuracoes
configuracoes.moveEtapa | command | app+mcp | - | configuracoes
configuracoes.toggleProdutoFavorito | command | app+mcp | - | configuracoes
configuracoes.updateCategoria | command | app+mcp | - | configuracoes
configuracoes.updateEtapa | command | app+mcp | - | configuracoes
configuracoes.updatePacote | command | app+mcp | - | configuracoes
configuracoes.updateProduto | command | app+mcp | - | configuracoes
contratos.createContrato | command | app+mcp | - | contratos
contratos.createTemplate | command | app+mcp | - | contratos
contratos.deleteContrato | command | app+mcp | approval | contratos
contratos.deleteTemplate | command | app+mcp | approval | contratos
contratos.generateContratoWithAI | command | app+mcp | approval | contratos
contratos.generateTemplateWithAI | command | app+mcp | approval | contratos
contratos.getContrato | query | app+mcp | - | contratos
contratos.getTemplate | query | app+mcp | - | contratos
contratos.listContratos | query | app+mcp | - | contratos
contratos.listTemplates | query | app+mcp | - | contratos
contratos.markSentContrato | command | app+mcp | approval | contratos
contratos.updateContrato | command | app+mcp | - | contratos
contratos.updateTemplate | command | app+mcp | - | contratos
decision.accept | command | app | - | decision
decision.dismiss | command | app | - | decision
decision.list | query | app | - | decision
decision.propose | command | app | - | decision
